State,State name,Coc,Counties
AZ,Arizona,"Phoenix,Mesa/Maricopa",Maricopa County 
CA,California,Los Angeles City & County,Los Angeles County
CA,California,San Diego City and County,San Diego County
CA,California,San Jose/Santa Clara City & County,San Diego County
CA,California,San Bernardino City & County,San Bernardino County
CA,California,San Francisco,San Francisco County
CO,Colorado,Metropolitan Denver,Adams County
CO,Colorado,Metropolitan Denver,Arapahoe County
CO,Colorado,Metropolitan Denver,Boulder County
CO,Colorado,Metropolitan Denver,Broomfield County
CO,Colorado,Metropolitan Denver,Denver County
CO,Colorado,Metropolitan Denver,Douglas County
CO,Colorado,Metropolitan Denver,Jefferson County
DC,District of Columbia,District of Columbia,District of Columbia
FL,Florida,Tampa/Hillsborough County,Hillsborough County
GA,Georgia,Atlanta,Fulton County
IL,Illinois,Chicago,Cook County
MA,Massachusetts,Boston,Suffolk County
MI,Michigan,Detroit,Wayne County
NV,Nevada,Las Vegas/Clark County,Clark County
NY,New York,New York City,Bronx County
NY,New York,New York City,Kings County
NY,New York,New York City,New York County
NY,New York,New York City,Queens County
NY,New York,New York City,Richmond County
PA,Pennsylvania,Philadelphia,Philadelphia Count
TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",Harris County
TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",Montgomery County
TX,Texas,"Houston, Pasadena, Conroe/Harris, Ft. Bend, Montgomery",Fort Bend County
TX,Texas,Austin/Travis County,Travis County
WA,Washington,Seattle/King,King County