,CoC Number,year,permanent_housing,homeless,poverty,unemployment_rate
0,AZ-502,2022,6778.0,9026,,
1,CA-500,2022,4407.0,10028,,
2,CA-501,2022,12436.0,7754,,
3,CA-600,2022,25023.0,65111,,
4,CA-601,2022,9006.0,8427,,
5,CA-609,2022,1691.0,3333,,
6,CO-503,2022,7048.0,6884,,
7,DC-500,2022,20965.0,4410,,
8,FL-501,2022,1765.0,1513,,
9,GA-500,2022,2366.0,2017,,
10,IL-510,2022,8942.0,3875,,
11,MA-500,2022,7373.0,4439,,
12,MI-501,2022,3117.0,1691,,
13,NV-500,2022,2112.0,5645,,
14,NY-600,2022,36220.0,61840,,
15,PA-500,2022,5296.0,4489,,
16,TX-503,2022,1937.0,3157,,
17,TX-700,2022,7687.0,3124,,
18,WA-500,2022,9633.0,13368,,
19,AZ-502,2021,6205.0,3650,4431245.0,4.5
20,CA-500,2021,4540.0,2301,1858937.0,4.7
21,CA-501,2021,10292.0,4000,798372.0,5.0
22,CA-600,2021,26401.0,17225,9671086.0,8.9
23,CA-601,2021,7346.0,4143,3186735.0,6.5
24,CA-609,2021,1595.0,905,2154741.0,7.4
25,CO-503,2021,5552.0,5530,3197826.0,35.9
26,DC-500,2021,16654.0,5111,637501.0,6.6
27,FL-501,2021,1734.0,870,1455877.0,4.3
28,GA-500,2021,2209.0,1996,11992.0,3.6
29,IL-510,2021,9889.0,3725,5084194.0,7.0
30,MA-500,2021,8576.0,4548,723908.0,6.0
31,MI-501,2021,2947.0,1293,1756041.0,8.0
32,NV-500,2021,2283.0,5083,2266809.0,8.3
33,NY-600,2021,34884.0,68358,8315953.0,49.599999999999994
34,PA-500,2021,5347.0,4302,1528797.0,9.2
35,TX-503,2021,1448.0,2954,1283902.0,4.0
36,TX-700,2021,6057.0,3047,6175396.0,18.2
37,WA-500,2021,7860.0,5183,2220605.0,4.3
38,AZ-502,2020,6195.0,7419,4508350.0,7.2
39,CA-500,2020,3955.0,9605,1879500.0,7.2
40,CA-501,2020,10051.0,8124,849348.0,8.0
41,CA-600,2020,24713.0,63706,9778777.0,12.3
42,CA-601,2020,5840.0,7638,3229422.0,9.5
43,CA-609,2020,1603.0,3125,2147438.0,9.7
44,CO-503,2020,4620.0,6104,3209417.0,47.1
45,DC-500,2020,15267.0,6380,680439.0,8.0
46,FL-501,2020,1606.0,1452,1474357.0,7.7
47,GA-500,2020,1965.0,3240,12184.0,5.2
48,IL-510,2020,10066.0,5390,5018074.0,10.4
49,MA-500,2020,9589.0,6134,753594.0,10.3
50,MI-501,2020,2855.0,1589,1721722.0,13.5
51,NV-500,2020,2317.0,5283,2289768.0,15.5
52,NY-600,2020,34119.0,77943,8108939.0,61.599999999999994
53,PA-500,2020,5131.0,5634,1530489.0,12.4
54,TX-503,2020,1351.0,2506,1278304.0,6.4
55,TX-700,2020,6103.0,3974,6139120.0,24.1
56,WA-500,2020,7980.0,11751,2241008.0,7.8
57,AZ-502,2019,6641.0,6614,4416338.0,4.2
58,CA-500,2019,3276.0,9706,1900407.0,2.5
59,CA-501,2019,10797.0,8035,865424.0,2.2
60,CA-600,2019,21963.0,56257,9874732.0,4.4
61,CA-601,2019,5019.0,8102,3238918.0,3.3
62,CA-609,2019,1528.0,2607,2139699.0,3.9
63,CO-503,2019,3771.0,5755,3186140.0,16.9
64,DC-500,2019,9853.0,6521,673036.0,5.4
65,FL-501,2019,1669.0,1650,1448305.0,3.2
66,GA-500,2019,2059.0,3217,12271.0,3.9
67,IL-510,2019,10203.0,5290,5062586.0,3.9
68,MA-500,2019,9481.0,6242,757779.0,2.8
69,MI-501,2019,2941.0,1965,1729805.0,5.0
70,NV-500,2019,2515.0,5530,2239723.0,4.2
71,NY-600,2019,32150.0,78604,8183087.0,19.7
72,PA-500,2019,4991.0,5735,1533752.0,5.7
73,TX-503,2019,1273.0,2255,1251336.0,2.6
74,TX-700,2019,5519.0,3938,6068524.0,10.8
75,WA-500,2019,7718.0,11199,2220662.0,2.7
76,AZ-502,2018,7354.0,6298,4344976.0,4.1
77,CA-500,2018,4220.0,7254,1911186.0,2.7
78,CA-501,2018,9556.0,6857,867735.0,2.4
79,CA-600,2018,22283.0,49955,9951338.0,4.6
80,CA-601,2018,5260.0,8576,3246211.0,3.4
81,CA-609,2018,1349.0,2118,2133532.0,4.1
82,CO-503,2018,3557.0,5317,3153243.0,19.8
83,DC-500,2018,9959.0,6904,669029.0,5.6
84,FL-501,2018,1696.0,1795,1414755.0,3.5
85,GA-500,2018,1898.0,3076,12068.0,3.9
86,IL-510,2018,10512.0,5450,5094765.0,4.2
87,MA-500,2018,7582.0,6188,761710.0,3.1
88,MI-501,2018,3006.0,1769,1734047.0,5.2
89,NV-500,2018,2593.0,6083,2205093.0,4.6
90,NY-600,2018,29266.0,78676,8253472.0,21.1
91,PA-500,2018,4926.0,5788,1533931.0,5.8
92,TX-503,2018,1281.0,2147,1226556.0,2.9
93,TX-700,2018,5875.0,4143,6014720.0,12.2
94,WA-500,2018,7561.0,12112,2203349.0,3.3
95,AZ-502,2017,6498.0,5605,4239908.0,4.3
96,CA-500,2017,4275.0,7394,1911659.0,3.2
97,CA-501,2017,8254.0,6858,868690.0,2.9
98,CA-600,2017,20635.0,52442,10007071.0,4.8
99,CA-601,2017,4696.0,9160,3243699.0,4.0
100,CA-609,2017,1410.0,1866,2118139.0,5.0
101,CO-503,2017,4778.0,5506,3103825.0,17.1
102,DC-500,2017,8087.0,7473,660640.0,6.1
103,FL-501,2017,1625.0,1549,1387130.0,4.0
104,GA-500,2017,1941.0,3572,11857.0,4.2
105,IL-510,2017,9476.0,5657,5125439.0,5.1
106,MA-500,2017,7934.0,6135,752328.0,3.5
107,MI-501,2017,7514.0,2078,1732477.0,5.5
108,NV-500,2017,2440.0,6490,2176532.0,5.2
109,NY-600,2017,28078.0,76501,8477576.0,23.299999999999997
110,PA-500,2017,6179.0,5693,1531792.0,6.3
111,TX-503,2017,1299.0,2036,1204389.0,3.1
112,TX-700,2017,5852.0,3605,5925717.0,14.2
113,WA-500,2017,7555.0,11643,2159702.0,3.6
114,AZ-502,2016,5806.0,5702,4175417.0,4.7
115,CA-500,2016,2822.0,6524,1893000.0,3.8
116,CA-501,2016,7599.0,6996,855884.0,3.3
117,CA-600,2016,20707.0,43854,9981948.0,5.3
118,CA-601,2016,4038.0,8669,3222062.0,4.7
119,CA-609,2016,1098.0,1887,2101567.0,5.8
120,CO-503,2016,2638.0,5728,3071260.0,20.1
121,DC-500,2016,8863.0,8350,647652.0,6.2
122,FL-501,2016,1539.0,1817,1354074.0,4.5
123,GA-500,2016,2325.0,4063,11920.0,4.3
124,IL-510,2016,9559.0,5889,5117078.0,6.2
125,MA-500,2016,7894.0,6240,738829.0,3.7
126,MI-501,2016,5282.0,2335,1729412.0,6.2
127,NV-500,2016,2066.0,6208,2128461.0,5.9
128,NY-600,2016,28640.0,73523,8390346.0,26.6
129,PA-500,2016,6046.0,6112,1517920.0,6.7
130,TX-503,2016,1350.0,2138,1177093.0,3.2
131,TX-700,2016,4818.0,4031,5825603.0,15.2
132,WA-500,2016,6259.0,10730,2120859.0,3.8
133,AZ-502,2015,5319.0,5631,4103850.0,5.1
134,CA-500,2015,2794.0,6556,1891080.0,4.2
135,CA-501,2015,7051.0,6775,849842.0,3.7
136,CA-600,2015,17072.0,41174,10011595.0,6.7
137,CA-601,2015,3501.0,8742,3203252.0,5.2
138,CA-609,2015,1087.0,2149,2087881.0,6.5
139,CO-503,2015,2129.0,5335,3032191.0,24.1
140,DC-500,2015,5679.0,7298,638024.0,6.9
141,FL-501,2015,1513.0,1931,1326696.0,5.1
142,GA-500,2015,2247.0,4317,11994.0,5.1
143,IL-510,2015,8164.0,6786,5151018.0,6.3
144,MA-500,2015,6432.0,6492,733077.0,4.4
145,MI-501,2015,4986.0,2597,1739083.0,6.8
146,NV-500,2015,1942.0,7509,2089026.0,6.9
147,NY-600,2015,26722.0,75323,8405504.0,28.8
148,PA-500,2015,5808.0,5998,1517222.0,7.2
149,TX-503,2015,1132.0,1832,1154396.0,3.3
150,TX-700,2015,3772.0,4609,5730616.0,13.3
151,WA-500,2015,6095.0,10122,2087764.0,4.1
152,AZ-502,2014,5478.0,5918,4023019.0,5.8
153,CA-500,2014,3683.0,7567,1867602.0,5.2
154,CA-501,2014,6843.0,6408,837036.0,4.4
155,CA-600,2014,14749.0,34393,9958684.0,8.2
156,CA-601,2014,3296.0,8506,3168867.0,6.5
157,CA-609,2014,684.0,2315,2071080.0,8.1
158,CO-503,2014,2007.0,6621,2967039.0,32.2
159,DC-500,2014,6414.0,7748,624323.0,7.7
160,FL-501,2014,1424.0,1944,1294850.0,6.0
161,GA-500,2014,1677.0,4797,11935.0,5.7
162,IL-510,2014,8423.0,6287,5156535.0,7.6
163,MA-500,2014,6042.0,5987,722372.0,5.3
164,MI-501,2014,2507.0,2755,1744873.0,9.6
165,NV-500,2014,2167.0,7443,2045642.0,8.2
166,NY-600,2014,21813.0,67810,8344228.0,36.4
167,PA-500,2014,5502.0,5738,1509769.0,8.2
168,TX-503,2014,1032.0,1987,1128678.0,4.1
169,TX-700,2014,3676.0,5308,5586712.0,14.2
170,WA-500,2014,4687.0,8949,2050488.0,4.5
171,AZ-502,2013,4717.0,5889,3951626.0,6.6
172,CA-500,2013,3338.0,7631,1835157.0,6.6
173,CA-501,2013,6637.0,7008,822030.0,5.5
174,CA-600,2013,11867.0,35524,9858931.0,9.8
175,CA-601,2013,2503.0,8879,3121289.0,7.9
176,CA-609,2013,454.0,2321,2047526.0,9.9
177,CO-503,2013,1965.0,6316,2909259.0,43.5
178,DC-500,2013,6224.0,6865,611783.0,8.4
179,FL-501,2013,1176.0,1909,1269577.0,6.9
180,GA-500,2013,1764.0,5536,12100.0,6.7
181,IL-510,2013,7960.0,6276,5152225.0,9.7
182,MA-500,2013,5814.0,5881,710490.0,6.1
183,MI-501,2013,2120.0,2789,1754598.0,11.4
184,NV-500,2013,2032.0,5952,2002784.0,10.0
185,NY-600,2013,19599.0,64060,8259896.0,45.1
186,PA-500,2013,5409.0,5645,1502340.0,10.0
187,TX-503,2013,1035.0,2090,1098400.0,5.1
188,TX-700,2013,3242.0,6359,5430373.0,17.1
189,WA-500,2013,4365.0,9106,2015022.0,4.4
190,AZ-502,2012,4479.0,6485,3885344.0,7.3
191,CA-500,2012,3183.0,7053,1811534.0,8.0
192,CA-501,2012,7588.0,5895,810697.0,6.9
193,CA-600,2012,20802.0,31553,9810434.0,11.0
194,CA-601,2012,2421.0,10013,3086106.0,9.3
195,CA-609,2012,401.0,2532,2040274.0,11.6
196,CO-503,2012,2238.0,6358,2851856.0,51.8
197,DC-500,2012,6452.0,6954,598151.0,9.0
198,FL-501,2012,891.0,7419,1257060.0,8.1
199,GA-500,2012,1523.0,6811,12122.0,6.9
200,IL-510,2012,8177.0,6710,5144225.0,9.7
201,MA-500,2012,5232.0,5607,699982.0,6.2
202,MI-501,2012,1797.0,3115,1772920.0,11.7
203,NV-500,2012,1804.0,7323,1975308.0,11.7
204,NY-600,2012,18599.0,56672,8195788.0,48.5
205,PA-500,2012,4840.0,5780,1498157.0,10.6
206,TX-503,2012,957.0,2244,1073169.0,5.5
207,TX-700,2012,3066.0,7187,5307124.0,18.4
208,WA-500,2012,4225.0,8899,1978217.0,6.3
209,AZ-502,2011,3214.0,5831,3824961.0,8.5
210,CA-500,2011,2493.0,7067,1782850.0,9.5
211,CA-501,2011,6998.0,5669,797283.0,8.2
212,CA-600,2011,17115.0,34622,9735899.0,12.2
213,CA-601,2011,1644.0,9436,3048226.0,10.5
214,CA-609,2011,323.0,2825,2023785.0,13.1
215,CO-503,2011,2241.0,4809,2803450.0,56.8
216,DC-500,2011,5566.0,6546,584583.0,10.2
217,FL-501,2011,737.0,7336,1246958.0,9.6
218,GA-500,2011,2587.0,6805,12100.0,7.4
219,IL-510,2011,7828.0,6635,5130885.0,10.6
220,MA-500,2011,4675.0,5476,688818.0,6.6
221,MI-501,2011,4473.0,3138,1782027.0,12.5
222,NV-500,2011,1729.0,8003,1946162.0,13.5
223,NY-600,2011,27449.0,51123,8100462.0,46.8
224,PA-500,2011,4732.0,6180,1487011.0,10.5
225,TX-503,2011,871.0,2362,1040890.0,6.6
226,TX-700,2011,3002.0,8471,5201666.0,22.7
227,WA-500,2011,4059.0,8972,1939640.0,7.5
228,AZ-502,2010,3013.0,6999,3772257.0,9.5
229,CA-500,2010,2106.0,7086,1760897.0,10.7
230,CA-501,2010,6710.0,5823,789928.0,9.1
231,CA-600,2010,17008.0,33243,9675347.0,12.6
232,CA-601,2010,847.0,8383,3013705.0,11.0
233,CA-609,2010,194.0,2026,2000388.0,13.9
234,CO-503,2010,2252.0,8752,2755459.0,60.3
235,DC-500,2010,4832.0,6539,570954.0,10.0
236,FL-501,2010,682.0,7473,1212957.0,10.4
237,GA-500,2010,2066.0,7019,12031.0,7.5
238,IL-510,2010,7982.0,6240,5115879.0,11.0
239,MA-500,2010,4427.0,5139,680724.0,7.4
240,MI-501,2010,2733.0,2812,1795437.0,15.0
241,NV-500,2010,1399.0,9949,1931061.0,14.0
242,NY-600,2010,24270.0,53187,8040679.0,48.8
243,PA-500,2010,4204.0,6084,1478501.0,10.3
244,TX-503,2010,540.0,2087,1008618.0,6.8
245,TX-700,2010,1729.0,6368,5102158.0,23.6
246,WA-500,2010,3382.0,9022,1910659.0,8.4
247,AZ-502,2009,2529.0,7889,3972331.0,8.9
248,CA-500,2009,1300.0,7086,1755841.0,11.0
249,CA-501,2009,6043.0,5823,803979.0,9.1
250,CA-600,2009,16445.0,33243,9690311.0,11.7
251,CA-601,2009,771.0,7995,2973267.0,9.8
252,CA-609,2009,157.0,2026,1966861.0,13.2
253,CO-503,2009,1961.0,8752,2762022.0,54.1
254,DC-500,2009,3889.0,6228,570114.0,10.0
255,FL-501,2009,488.0,7473,1176593.0,9.8
256,GA-500,2009,1978.0,7019,11440.0,7.4
257,IL-510,2009,7688.0,6240,5185337.0,10.5
258,MA-500,2009,3890.0,5101,715609.0,7.7
259,MI-501,2009,2573.0,3694,1896719.0,15.4
260,NV-500,2009,1369.0,9949,1880847.0,11.9
261,NY-600,2009,24117.0,49343,8244056.0,46.9
262,PA-500,2009,3988.0,6304,1494227.0,9.7
263,TX-503,2009,453.0,2641,1005242.0,6.7
264,TX-700,2009,1524.0,7576,5020176.0,21.5
265,WA-500,2009,3089.0,8952,1885857.0,7.0
266,AZ-502,2008,2523.0,7189,3903475.0,5.1
267,CA-500,2008,1462.0,7202,1736343.0,6.0
268,CA-501,2008,5233.0,5171,797587.0,5.3
269,CA-600,2008,8077.0,47862,9705821.0,7.5
270,CA-601,2008,685.0,8455,2903274.0,6.1
271,CA-609,2008,122.0,6969,1965024.0,8.1
272,CO-503,2008,2001.0,8482,2708056.0,33.300000000000004
273,DC-500,2008,3116.0,6044,561869.0,6.8
274,FL-501,2008,440.0,6483,1162122.0,5.9
275,GA-500,2008,1731.0,6840,11543.0,5.2
276,IL-510,2008,7409.0,5979,5193694.0,6.7
277,MA-500,2008,3594.0,5198,693777.0,5.2
278,MI-501,2008,1793.0,18062,1922204.0,9.7
279,NV-500,2008,1407.0,7533,1845854.0,6.8
280,NY-600,2008,22187.0,50261,8216098.0,28.5
281,PA-500,2008,5426.0,6871,1394536.0,7.1
282,TX-503,2008,374.0,3451,977499.0,4.2
283,TX-700,2008,1911.0,10363,4891584.0,13.3
284,WA-500,2008,2912.0,8501,1847044.0,3.8
285,AZ-502,2007,2014.0,8448,3832171.0,3.2
286,CA-500,2007,1170.0,7202,1720787.0,4.6
287,CA-501,2007,4995.0,5703,754436.0,4.2
288,CA-600,2007,6870.0,47862,9717419.0,5.1
289,CA-601,2007,758.0,7326,2879876.0,4.5
290,CA-609,2007,261.0,6969,1958155.0,5.5
291,CO-503,2007,1801.0,8698,2663141.0,25.4
292,DC-500,2007,3639.0,5320,559556.0,6.0
293,FL-501,2007,435.0,6483,1155062.0,3.4
294,GA-500,2007,1086.0,6840,11606.0,5.1
295,IL-510,2007,6510.0,5979,5195148.0,5.4
296,MA-500,2007,3226.0,5104,682732.0,4.5
297,MI-501,2007,1722.0,18062,1956269.0,8.4
298,NV-500,2007,962.0,7533,1814229.0,4.6
299,NY-600,2007,20369.0,50372,8128959.0,24.8
300,PA-500,2007,5961.0,7640,1397787.0,6.3
301,TX-503,2007,254.0,5281,953213.0,3.7
302,TX-700,2007,1395.0,10363,4798915.0,12.299999999999999
303,WA-500,2007,2775.0,7902,1829115.0,3.1
